"Colonia","Población total","Porcentaje de población masculina","Porcentaje de población femenina","Porcentaje de población de 0 a 14 años","Porcentaje de población de 15 a 64 años","Porcentaje de población de 65 y más años","Porcentaje de población no especificada","Fecundidad promedio","Porcentaje de población con discapacidad","Población Económicamente Activa","Población Económicamente Activa masculina","Población Económicamente Activa femenina","Población Ocupada","Población Ocupada masculina","Población Ocupada femenina","Población Desocupada","Derechohabiencia","Hogares","Ocupación por Vivienda","Viviendas con Electricidad","Viviendas con Agua","Viviendas con Drenaje","Viviendas con Televisión","Viviendas con Automóvil","Viviendas con Computadora","Total Actividades Económicas","Primer actividad nombre","Primer actividad porcentaje","Segunda actividad nombre","Segunda actividad porcentaje","Tercera actividad nombre","Tercera actividad porcentaje","Cuarta actividad nombre","Cuarta actividad porcentaje","Quinta actividad nombre","Quinta actividad porcentaje"
"Abastos",3790,48.35,51.65,25.44,64.69,9.05,0.82,2.72,8.48,53.7,64.1,35.9,87.13,62.57,37.43,12.87,68.46,989,3.83,99.93,99.93,99.93,98.41,39.16,26.1,159,"Comercio Menudeo",45.28,"Otros servicios, excepto Gobierno",18.24,"Preparación de Alimentos y Bebidas",9.43,"Industria Manufacturera",6.29,"Salud",4.4
"Aeropuerto",237,51.05,48.95,34.6,62.45,2.95,0,1.38,0.99,55.81,62.5,37.5,90.98,59.09,40.91,9.02,77.22,64,3.7,100,100,100,98.44,68.75,50,2,"Comercio Menudeo",50,"Preparación de Alimentos y Bebidas",50,,,,,,
"Aeropuerto Internacional Francisco Sarabia Tinoco",1,47.93,52.07,29.3,67.43,2.65,0.62,1.62,1.54,52.34,63.54,36.46,96.17,62.78,37.22,3.83,73.47,0,,,,,,,,35,"Transportes, Correo, Almacenamiento",28.57,"Inmobiliarios",20,"Comercio Menudeo",14.29,"Gubernamentales",14.29,"Comercio Mayoreo",8.57
"Alamedas",7044,48.18,51.82,21.54,69.28,8.66,0.52,2.37,7.55,49.92,63.47,36.53,93.62,62.75,37.25,6.38,77.61,1850,3.81,99.84,99.35,99.68,99.62,57.98,41.97,122,"Comercio Menudeo",45.9,"Otros servicios, excepto Gobierno",19.67,"Preparación de Alimentos y Bebidas",18.03,"Educativos",4.92,"Salud",3.28
"Amistad",4466,49.31,50.69,34.62,62.32,1.39,1.67,1.68,3.8,60.75,60.82,39.18,93.09,60.72,39.28,6.91,78.55,1268,3.52,99.87,99.87,99.95,99.48,57.38,40.94,57,"Comercio Menudeo",50.88,"Otros servicios, excepto Gobierno",14.04,"Preparación de Alimentos y Bebidas",14.04,"Industria Manufacturera",5.26,"Salud",3.51
"Ampliación Fovissste La Rosita",541,49.06,50.94,19.16,73.75,5.41,1.68,1.8,3.32,57.17,50.65,49.35,95.06,50.67,49.33,4.94,81.71,160,3.38,100,100,100,97.13,70.17,68.23,5,"Comercio Menudeo",40,"Preparación de Alimentos y Bebidas",40,"Otros servicios, excepto Gobierno",20,,,,
"Ampliación Fuentes",2298,49.74,50.26,30.37,64.11,4.97,0.55,2.25,4.32,55.79,66.39,33.61,87.07,65.41,34.59,12.93,59.65,559,4.11,99.13,99.12,99.48,96.97,52.09,30.36,55,"Comercio Menudeo",29.09,"Otros servicios, excepto Gobierno",20,"Industria Manufacturera",18.18,"Inmobiliarios",10.91,"Preparación de Alimentos y Bebidas",10.91
"Ampliación La Rosita",3434,48.22,51.78,14.53,76.93,6.09,2.45,1.67,2.45,55.96,59.22,40.78,94.68,58.95,41.05,5.32,77.88,934,3.68,99.97,99.54,99.65,99.65,95.42,86.92,163,"Comercio Menudeo",30.67,"Preparación de Alimentos y Bebidas",14.11,"Educativos",11.66,"Otros servicios, excepto Gobierno",11.66,"Salud",7.36
"Ampliación Las Julietas",1017,50.54,49.46,32.74,61.46,4.03,1.77,2.32,2.16,54.97,69.68,30.32,89.85,67.39,32.61,10.15,61.55,250,4.07,99.2,98.4,96.8,98,53.6,27.86,18,"Comercio Menudeo",27.78,"Otros servicios, excepto Gobierno",27.78,"Preparación de Alimentos y Bebidas",16.67,"Industria Manufacturera",11.11,"Profesionales, Científicos, Técnicos",5.56
"Ampliación Las Margaritas",1833,46.26,53.74,16.04,65.68,10.09,8.19,1.87,6.84,48.95,55.06,44.94,91.79,54.95,45.05,8.21,73.38,467,3.93,99.57,99.79,99.79,99.36,76.66,65.31,115,"Comercio Menudeo",35.65,"Otros servicios, excepto Gobierno",22.61,"Preparación de Alimentos y Bebidas",9.57,"Salud",5.22,"Educativos",3.48
