SUBINDICE,INDICADOR,DESCRIPCION,NOTAS,CATEGORIAS
Economía,Apertura de una empresa,Número de días necesarios para el trámite de apertura de una empresa.,,"Empresas, Doing Business, Sector Automotriz"
Economía,Apertura de un Negocio (percentil promedio),"Incluido en el subíndice de ""Gobiernos Eficaces y Eficientes"". Mide el promedio de los percentiles en que se ubica la ciudad en cada uno de los factores que determinan la facilidad para abrir un negocio: número de trámites, tiempo (días) y costo (% ingresos per cápita). Este indicador se calcula a nivel estatal.",,"Índice de Competitividad Urbana, Empresas"
Economía,Cantidad de Créditos Hipotecarios (trimestral),Créditos dispuestos marginalmente durante el año indicado.,"El mercado hipotecario de La Laguna representa el 0.54% del mercado hipotecario nacional.

Datos obtenidos de [CNBV](http://portafoliodeinformacion.cnbv.gob.mx/bm1/Paginas/carteravivienda.aspx)",Mercados
Economía,Cartera Hipotecaria,Monto total de créditos otorgados hasta la fecha indicada.,"La cartera hipotecaria de La Laguna representa el 1.69% de la cartera nacional. 

Datos obtenidos de [CNBV](http://portafoliodeinformacion.cnbv.gob.mx/bm1/Paginas/carteravivienda.aspx)",Mercados
Economía,Cartera Hipotecaria Vencida,"Incluido en el subíndice de ""Economía Estable"". Mide el número de créditos que son otorgados con respecto al número de habitantes.",Porcentaje de la cartera hipotecaria total.,"Índice de Competitividad Urbana, Mercados"
Economía,Centros de Investigación,"Incluido en el subíndice de ""Innovación en los Sectores Económicos"". Mide el número de centros de investigación del CONACYT, de la UNAM y del IPN que están establecidos en cada ciudad. Esta variable se construyó a partir de los directorios públicos de cada una de las instituciones.",,"Índice de Competitividad Urbana, Innovación"
Economía,Ciudad Fronteriza o Portuaria,"Incluido en el subíndice de ""Aprovechamiento de las Relaciones Internacionales"". Mide si una ciudad tiene puerto, es fronteriza o ninguna de las dos. Esta condición ofrece una ventaja competitiva inicial para cualquier ciudad.",,"Índice de Competitividad Urbana, Mercados"
Economía,Crecimiento de la Mancha Urbana,Mide la razón de crecimiento de la mancha urbana entre 2005 y 2010 respecto del crecimiento de la población de la ciudad correspondiente durante el mismo periodo.,,"Índice de Competitividad Urbana, Infraestructura"
Economía,Crecimiento de la Población Ocupada sin Ingresos,"Incluido en el subíndice de ""Mercado Laboral"". Mide el crecimiento de la población ocupada sin ingresos entre 2008-2012.",,"Índice de Competitividad Urbana, Empleo"
Economía,Crecimiento del PIB Estatal,"Incluido en el subíndice de ""Economía Estable"". Mide el cambio porcentual en el PIB estatal entre el año 2006 y el 2012.",,"Índice de Competitividad Urbana, Mercados, Macroeconomía"
Economía,Crecimiento del Salario Promedio,"Incluido en el subíndice de ""Economía Estable"". Mide el cambio porcentual en el salario promedio entre el año 2008 y el 2012. Este indicador es un proxy de cuánto ha crecido el poder adquisitivo de los trabajadores.",Tasa de cambio entre 2008 y 2012,"Índice de Competitividad Urbana, Mercados, Empleo"
Economía,Crecimiento en Jornadas Laborales Muy Largas,"Incluido en el subíndice de ""Mercado Laboral"". Mide crecimiento en las jornadas laborales muy largas entre 2008 y 2012.",,"Índice de Competitividad Urbana, Empleo"
Economía,Crecimiento en los Empleados en el Sector Formal,"Incluido en el subíndice de ""Gobiernos Eficientes y Eficaces"". Mide la tasa de cambio del número de empleados en el sector formal entre 2008 y
2012.",,"Índice de Competitividad Urbana, Empleo"
Economía,Crédito a las Empresas,"Incluido en el subíndice de ""Economía Estable"". Mide el monto del crédito que se les otorga a las empresas privadas en cada ciudad, ajustado por el tamaño de la economía local.",,"Índice de Competitividad Urbana, Mercados"
Economía,Demandantes de Conflicto Laboral,"Incluido en el subíndice de ""Mercado Laboral"". Mide el número de trabajadores involucrados en pugnas de carácter laboral, las cuales surgen entre los trabajadores y el patrón con motivo de omisiones, faltas o incumplimiento de alguna de las partes a las condiciones de trabajo que fueron pactadas por éstos, o de aquellas normas que están estipuladas en la ley.",,"Índice de Competitividad Urbana, Empleo"
Economía,Densidad Poblacional,"Mide el número de habitantes de la ciudad por kilómetro cuadrado en 2010. Una mayor densidad poblacional reduce los costos que enfrenta el gobierno local para proveer servicios públicos como agua potable, alumbrado público y seguridad, entre otros.",,"Índice de Competitividad Urbana, Población, Bienestar"
Economía,Diversificación Económica,Número de sectores económicos presentes en la ciudad.,,"Índice de Competitividad Urbana, Mercados"
Economía,Ejecución de Contratos,"Incluido en el Subíndice de ""Sistema de Derecho Confiable y Objetivo"" Mide el número de días promedio requerido para la ejecución de contratos de negocios. Ésta es una variable a nivel estatal.","Fuente: Doing Business en México, 2007, 2009, 2012.","Empresas, Doing Business, Índice de Competitividad Urbana, Sector Automotriz"
Economía,Empleados en el Sector Formal,"Incluido en el subíndice de ""Gobiernos Eficaces y Eficientes"". Mide el número de empleados en el sector formal como porcentaje de la población ocupada total. El INEGI define como sector formal a todas aquellas actividades económicas que se desarrollan en empresas constituidas en sociedad, corporaciones, instituciones públicas o privadas, y negocios no constituidos en sociedad pero que reportan ingresos ante la autoridad hacendaria.",,"Índice de Competitividad Urbana, Empleo"
Economía,Empresas,"Incluido en el subíndice de ""Innovación en los Sectores Económicos"". Mide el número de registros patronales en cada ciudad con respecto a la población económica activa (PEA).",,"Índice de Competitividad Urbana, Innovación"
Economía,Empresas Certificadas con ISO-9000 y 14000,"Incluido en el subíndice de ""Innovación en los Sectores Económicos"". Mide el número de empresas que cuentan con el certificado ISO-9000 e ISO-14000 (certificados de calidad) que emite la Organización Internacional de Estandarización (ISO por sus siglas en inglés). Esta variable es estatal.",,"Índice de Competitividad Urbana, Innovación"
Economía,Empresas Exportadoras,Empresas vigentes en uno o más programas de apoyo a exportadores de la Secretaría de Economía.,Datos obtenidos de [Secretaría de Economía](http://www.economia.gob.mx/comunidad-negocios/industria-y-comercio/instrumentos-de-comercio-exterior/directorios-y-discos-de-captura),Empresas
Economía,Flujo de Pasajeros del o Hacia el Extranjero,"Incluido en el subíndice de ""Aprovechamiento de las Relaciones Internacionales"". Mide el total de pasajeros en vuelos provenientes del extranjero que tienen como destino la ciudad correspondiente o que salen de ésta con destino al exterior como porcentaje del total de pasajeros aéreos al año.",Porcentaje del total de pasajeros aéreos.,"Índice de Competitividad Urbana, Movilidad"
