"subindice","indicador","region","fecha","cantidad","decimal","dinero","porcentaje","caracter","unidad","fuente","categorias"
"Economía","Actividad económica","Gómez Palacio","2016-12-31","\N","\N","287561845.00","\N","\N","Miles de pesos","IMCO","Índice de Competitividad Urbana"
"Economía","Actividad económica","La Laguna","2016-12-31","\N","\N","287561845.00","\N","\N","Miles de pesos","IMCO","Índice de Competitividad Urbana"
"Economía","Actividad económica","Lerdo","2016-12-31","\N","\N","287561845.00","\N","\N","Miles de pesos","IMCO","Índice de Competitividad Urbana"
"Economía","Actividad económica","Matamoros","2016-12-31","\N","\N","287561845.00","\N","\N","Miles de pesos","IMCO","Índice de Competitividad Urbana"
"Economía","Actividad económica","Torreón","2016-12-31","\N","\N","287561845.00","\N","\N","Miles de pesos","IMCO","Índice de Competitividad Urbana"
"Economía","Apertura de una empresa","Torreón","2007-12-31","\N","28.0000","\N","\N","\N","Días","Doing Business","Empresas, Doing Business, Sector Automotriz"
"Economía","Apertura de una empresa","Torreón","2012-12-31","\N","11.0000","\N","\N","\N","Días","Doing Business","Empresas, Doing Business, Sector Automotriz"
"Economía","Apertura de una empresa","Torreón","2013-10-31","\N","9.5000","\N","\N","\N","Días","Doing Business","Empresas, Doing Business, Sector Automotriz"
"Economía","Apertura de una empresa","Torreón","2015-12-31","\N","11.5000","\N","\N","\N","Días","Doing Business","Empresas, Doing Business, Sector Automotriz"
"Economía","Apertura de un Negocio (percentil promedio)","Gómez Palacio","2008-12-31","\N","0.4308","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Gómez Palacio","2009-12-31","\N","0.5078","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Gómez Palacio","2010-12-31","\N","0.5078","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Gómez Palacio","2011-12-31","\N","0.6770","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Gómez Palacio","2012-12-31","\N","0.6770","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Gómez Palacio","2016-12-31","\N","0.3900","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","La Laguna","2008-12-31","\N","0.3876","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","La Laguna","2009-12-31","\N","0.2165","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","La Laguna","2010-12-31","\N","0.3666","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","La Laguna","2011-12-31","\N","0.5279","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","La Laguna","2012-12-31","\N","0.4250","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","La Laguna","2014-12-31","\N","0.4672","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","La Laguna","2016-12-31","\N","0.3785","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Lerdo","2008-12-31","\N","0.4308","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Lerdo","2009-12-31","\N","0.5078","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Lerdo","2010-12-31","\N","0.5078","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Lerdo","2011-12-31","\N","0.6770","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Lerdo","2012-12-31","\N","0.6770","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Lerdo","2016-12-31","\N","0.3900","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Matamoros","2008-12-31","\N","0.3445","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Matamoros","2009-12-31","\N","0.2255","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Matamoros","2010-12-31","\N","0.2255","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Matamoros","2011-12-31","\N","0.3788","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Matamoros","2012-12-31","\N","0.3788","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Matamoros","2016-12-31","\N","0.3800","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Torreón","2008-12-31","\N","0.3445","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Torreón","2009-12-31","\N","0.2255","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Torreón","2010-12-31","\N","0.2255","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Torreón","2011-12-31","\N","0.3788","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Torreón","2012-12-31","\N","0.3788","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Apertura de un Negocio (percentil promedio)","Torreón","2016-12-31","\N","0.3800","\N","\N","\N","Percentil promedio","IMCO","Índice de Competitividad Urbana, Empresas"
"Economía","Balanza comercial.","Torreón","2014-12-31","\N","\N","4472.00","\N","\N","Millones de dólares","Secretaría de Administración Tributaria.","Comercio."
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Gómez Palacio","2010-12-31","188","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Gómez Palacio","2011-12-31","669","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Gómez Palacio","2012-12-31","1030","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Gómez Palacio","2013-12-31","948","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
"Economía","Cantidad de Créditos Hipotecarios (trimestral)","Gómez Palacio","2014-03-31","85","\N","\N","\N","\N","Cantidad de Créditos","Comisión Nacional Bancaria y de Valores (CNBV)","Mercados"
